,ST,CB,PB,GO,CA,RETURN,VOLAT
69,0,60,0,20,20,7.837997801640317,58.77901277168422
70,0,0,0,80,20,19.51680328478556,60.15062317967322
71,0,0,0,0,100,-6.6915655150949265,56.910700112625904
72,0,20,0,60,20,16.47684130599848,59.803445041512525
73,0,0,40,40,20,7.126901274064092,58.56135544195187
74,40,20,0,0,40,1.534402765563875,57.4708159367754
75,20,0,60,0,20,0.49675491520908177,57.53789524156992
76,20,40,40,0,0,2.007450572806573,57.73066458341611
77,0,0,0,40,60,8.572616840244683,58.851649829243286
78,20,20,20,20,20,5.425769466825109,58.205703220729845
79,20,0,20,40,20,8.762737935012506,58.64915198226947
80,0,20,60,20,0,3.9872830838521773,58.1316723178764
81,20,40,0,40,0,13.312945973496442,59.24265002831586
82,60,20,0,20,0,8.372035266360372,58.29321940938846
83,20,60,0,0,20,2.417322233254418,57.79181544473347
84,20,20,0,0,60,-1.1258773648768985,57.33027888018839
85,80,20,0,0,0,5.023716615650651,57.671266051299156
86,0,80,20,0,0,2.256919801277515,57.99010918529065
87,0,0,20,0,80,-3.9509110262350458,57.189587915518814
88,40,0,40,20,0,5.339091459954412,58.062833225980604
89,60,0,20,20,0,6.619775739041809,58.1019152950342
90,0,0,80,20,0,3.167483384756324,58.00616228010325
91,40,0,0,60,0,15.00675980171251,59.33588808749329
92,0,40,40,20,0,5.164645574490801,58.311499232086916
93,20,20,0,40,20,11.485848338055646,59.014656474921466
94,0,20,40,40,0,8.368882161368735,58.71465347137964
95,20,20,0,20,40,5.6725242240105205,58.25557090194831
96,20,0,0,20,60,3.9906963406668683,58.04032992918591
97,0,40,0,60,0,18.62148856067188,60.06085089924078
98,40,60,0,0,0,4.679058399794185,57.87900434150261
99,0,0,0,20,80,1.6260316141338114,57.98764308139596
100,40,20,0,20,20,7.2097298826191505,58.27556013773072
101,0,100,0,0,0,3.9185357050786287,58.304979039013965
102,20,0,0,0,80,-2.7251572869085643,57.121476204076636
103,0,40,20,20,20,5.333086716606568,58.38167212796236
104,0,20,20,40,20,9.224638187792781,58.86501776665924
105,0,60,0,40,0,14.970036877689028,59.64079304418209
106,0,0,0,100,0,23.904133379645724,60.65090445575846
107,40,0,20,0,40,0.9147071500407026,57.43094865788548
108,60,0,0,20,20,7.02940141485968,58.120687725177646
109,0,20,0,80,0,21.531115124429892,60.388379630268155
110,0,0,60,20,20,2.9634665760163137,58.003711853034936
111,0,0,40,60,0,11.119872976630683,59.0544717559789
112,60,0,0,0,40,2.1981842766080835,57.41228528035575
113,20,40,0,0,40,0.5842994857427205,57.553233912470255
114,20,20,60,0,0,1.4253737851377624,57.655383110212014
115,20,0,60,20,0,4.195269396747948,58.03157160989577
116,80,0,20,0,0,3.9277267263774074,57.59847588330438
117,20,20,20,40,0,10.132169422757734,58.81968557444128
118,20,0,20,60,0,12.933660710225972,59.18120334706792
119,0,20,80,0,0,0.48409278445036297,57.655946744333086
120,20,60,0,20,0,9.368435793306272,58.72644236775318
121,40,40,20,0,0,3.3374288508312207,57.74154783946139
122,20,0,0,40,40,9.760540228353108,58.798530135142826
123,40,0,0,20,40,5.7155845766004125,58.08406145460203
124,0,40,0,20,40,5.6089776169468895,58.49670049062687
125,0,20,0,20,60,3.5441550812610143,58.233533369545235
